Nome,Ano nasc,Ano morte,Cidade nasc,Região nasc,Cidade morte,Região morte
Vitaliano di Osimo,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO
Wilfrido della Gherardesca,DESCONHECIDO,756,Pisa,Toscana,Monteverdi Marittimo,Toscana
Papa Zaccaria,679,752,Santa Severina,Calabria,Roma,Lazio
Adalgisio di Novara,DESCONHECIDO,848,Novara,Piemonte,Novara,Piemonte
Papa Adriano III,DESCONHECIDO,885,Roma,Lazio,San Cesario sul Panaro,Emilia-Romagna
Anselmo I di Milano,DESCONHECIDO,818,Milano,Lombardia,DESCONHECIDO,DESCONHECIDO
Ansovino di Camerino,DESCONHECIDO,868,Camerino,Marche,Camerino,Marche
Atanasio I di Napoli,830,872,Napoli,Campania,Veroli,Lazio
Benigno di Malcesine,DESCONHECIDO,DESCONHECIDO,Malcesine,Veneto,Malcesine,Veneto
Bertario di Montecassino,DESCONHECIDO,883,DESCONHECIDO,DESCONHECIDO,Cassino,Lazio
Bono di Milano,DESCONHECIDO,822,Milano,Lombardia,Milano,Lombardia
Caro di Malcesine,DESCONHECIDO,DESCONHECIDO,Malcesine,Veneto,Malcesine,Veneto
Ceccardo di Luni,800,860,Luni,Liguria,Luni,Liguria
Diodato di Montecassino,DESCONHECIDO,834,Isola del Liri,Lazio,Benevento,Campania
Equizio diacono,DESCONHECIDO,DESCONHECIDO,Salerno,Campania,Salerno,Campania
San Felice di Pistoia,DESCONHECIDO,DESCONHECIDO,Pistoia,Toscana,Pistoia,Toscana
Papa Leone IV,DESCONHECIDO,855,Roma,Lazio,Roma,Lazio
Litifredo I di Pavia,DESCONHECIDO,DESCONHECIDO,Pavia,Lombardia,Pavia,Lombardia
Luca Casali da Nicosia,DESCONHECIDO,DESCONHECIDO,Nicosia,Sicilia,Nicosia,Sicilia
Papa Niccolò I,800,867,Roma,Lazio,Roma,Lazio
Palerio di Telese,DESCONHECIDO,DESCONHECIDO,Salerno,Campania,Salerno,Campania
Paolino II,750,802,Premariacco,Friuli-Venezia Giulia,Cividale del Friuli,Friuli-Venezia Giulia
Papa Pasquale I,DESCONHECIDO,824,Roma,Lazio,Roma,Lazio
Benedetto Revelli,DESCONHECIDO,900,Genova,Liguria,Genova,Liguria
Albuino di Bressanone,DESCONHECIDO,1006,DESCONHECIDO,DESCONHECIDO,Bressanone,Trentino-Alto Adige/Südtirol
Antonio di Gerace,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Locri,Calabria
Arcano da Sansepolcro,DESCONHECIDO,DESCONHECIDO,Sansepolcro,Toscana,Sansepolcro,Toscana
Arsenio da Armo,810,904,Reggio di Calabria,Calabria,Armo,Liguria
Bernolfo di Asti,DESCONHECIDO,DESCONHECIDO,Asti,Piemonte,Priola,Piemonte
Egidio da Sansepolcro,DESCONHECIDO,DESCONHECIDO,Sansepolcro,Toscana,Sansepolcro,Toscana
Elia Speleota,865,960,Reggio di Calabria,Calabria,Melicuccà,Calabria
San Gemolo,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Valganna,Lombardia
Giovanni da Parma (X secolo),DESCONHECIDO,990,Parma,Emilia-Romagna,Parma,Emilia-Romagna
Giovanni Vincenzo,955,1000,Besate,Lombardia,Caprie,Piemonte
Giusto di Novalesa,DESCONHECIDO,906,Novalesa,Piemonte,Oulx,Piemonte
Gregorio da Cerchiara,940,999,Cerchiara di Calabria,Calabria,Burtscheid,EXTERIOR - Alemanha
Guglielmo da Volpiano,962,1031,Orta San Giulio,Piemonte,Fécamp,EXTERIOR - França
Leoluca di Corleone,815,915,Corleone,Sicilia,Vibo Valentia,Calabria
Luca di Carbone,DESCONHECIDO,1005,Catanzaro,Calabria,Carbone,Basilicata
Luca di Demenna,DESCONHECIDO,984,Messina,Sicilia,Armento,Basilicata
Macario di Collesano,DESCONHECIDO,1000,Collesano,Sicilia,Oliveto Citra,Campania
Mauro di Cesena,DESCONHECIDO,946,Ravenna,Emilia-Romagna,Ravenna,Emilia-Romagna
Nicodemo da Cirò,DESCONHECIDO,990,Cirò,Calabria,Mammola,Calabria
Nilo da Rossano,910,1004,Corigliano-Rossano,Calabria,Tusculum,Lazio
Pietro I Orseolo,920,988,Venezia,Veneto,Cuxà,EXTERIOR - França
Saba il Giovane,910,995,Collesano,Sicilia,Roma,Lazio
Stefano Minicillo,935,1023,Macerata Campania,Campania,Caiazzo,Campania
Tommaso di Terreti,DESCONHECIDO,1000,Reggio di Calabria,Calabria,DESCONHECIDO,DESCONHECIDO
Vitale di Castronovo,900,944,Castronovo di Sicilia,Sicilia,Rapolla,Basilicata
Adamo (abate),990,1072,Petacciato,Molise,Petacciato,Molise
Alberto da Prezzate,1025,1095,Prezzate,Lombardia,Pontida,Lombardia
Aldemaro di Capua,985,1070,Capua,Campania,Bucchianico,Abruzzo
Amato di Nusco,DESCONHECIDO,1093,Nusco,Campania,Nusco,Campania
Amico di Avellana,920,1050,Camerino,Marche,San Pietro Avellana,Molise
Amico di Rambona,DESCONHECIDO,996,Pollenza,Marche,Pollenza,Marche
Anselmo di Lucca,1035,1086,Milano,Lombardia,Mantova,Lombardia
Arduino di Rimini,950,1009,Rimini,Emilia-Romagna,Rimini,Emilia-Romagna
Arialdo,1010,1066,Cucciago,Lombardia,Angera,Lombardia
Bartolomeo il Giovane,981,1055,Corigliano-Rossano,Calabria,Grottaferrata,Lazio
Bernardo di Mentone,1020,1081,Menthon-Saint-Bernard,EXTERIOR - França,Novara,Piemonte
Bononio di Lucedio,DESCONHECIDO,1026,Bologna,Emilia-Romagna,Trino,Piemonte
Bruno di Segni,1045,1123,Solero,Piemonte,Segni,Lazio
Chelidonia,1077,1152,Rieti,Lazio,Subiaco,Lazio
Ciriaco da Buonvicino,DESCONHECIDO,1030,Buonvicino,Calabria,Buonvicino,Calabria
Domenico di Sora,951,1031,Foligno,Umbria,Sora,Lazio
Domenico Loricato,DESCONHECIDO,1060,Cantiano,Marche,San Severino Marche,Marche
Erlembaldo Cotta,DESCONHECIDO,1075,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Falco di Palena,DESCONHECIDO,DESCONHECIDO,Taverna,Calabria,Palermo,Sicilia
Filarete di Calabria,1020,1070,Palermo,Sicilia,Seminara,Calabria
Rodolfo Gabrielli,1034,1064,Gubbio,Umbria,Gubbio,Umbria
Papa Gelasio II,1060,1119,Gaeta,Lazio,Abbazia di Cluny,EXTERIOR - França
Gerardo di Csanád,DESCONHECIDO,1046,DESCONHECIDO,DESCONHECIDO,Buda,EXTERIOR - Hungria
Gerasimo di San Lorenzo,1100,1180,San Lorenzo,Calabria,San Lorenzo,Calabria
Gerlando di Agrigento,1030,1100,Besançon,EXTERIOR - França,Agrigento,Sicilia
Giorgio di Suelli,DESCONHECIDO,1117,Cagliari,Sardegna,Suelli,Sardegna
Giovanni da Lodi,1025,1105,Lodi Vecchio,Lombardia,Gubbio,Umbria
Giovanni di Montemarano,DESCONHECIDO,1005,Montemarano,Campania,Montemarano,Campania
Giovanni Gualberto,995,1073,Barberino Tavarnelle,Toscana,Barberino Tavarnelle,Toscana
Papa Gregorio VII,1015,1085,Sorano,Toscana,Salerno,Campania
Guglielmo da Vercelli,1085,1142,Vercelli,Piemonte,Sant'Angelo dei Lombardi,Campania
Guido d'Acqui,1004,1070,Melazzo,Piemonte,Acqui Terme,Piemonte
Guido di Pomposa,970,1046,Ravenna,Emilia-Romagna,Fidenza,Emilia-Romagna
Ilario di Matera,980,1045,Matera,Basilicata,Castel San Vincenzo,Molise
Leone Confessore,DESCONHECIDO,DESCONHECIDO,San Martino in Pensilis,Molise,San Martino in Pensilis,Molise
Leone I (abate),DESCONHECIDO,1079,Lucca,Toscana,Cava de' Tirreni,Campania
Lucido di Aquara,DESCONHECIDO,1038,Aquara,Campania,Cassino,Lazio
San Nicola Greco,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Guardiagrele,Abruzzo
Offa di Benevento,DESCONHECIDO,1070,DESCONHECIDO,DESCONHECIDO,Benevento,Campania
Alferio Pappacarbone,930,1050,Salerno,Campania,Cava de' Tirreni,Campania
Pier Damiani,1007,1072,Ravenna,Emilia-Romagna,Faenza,Emilia-Romagna
Pietro Igneo,DESCONHECIDO,1089,Firenze,Toscana,Albano Laziale,Lazio
Podio vescovo,DESCONHECIDO,1002,DESCONHECIDO,DESCONHECIDO,Firenze,Toscana
Romualdo di Camaldoli,951,1027,Ravenna,Emilia-Romagna,Fabriano,Marche
Ruggero di Canne,1060,1129,Barletta,Puglia,Barletta,Puglia
Simeone di Polirone,DESCONHECIDO,1016,DESCONHECIDO,DESCONHECIDO,San Benedetto Po,Lombardia
Giovanni Theristis,995,1054,Palermo,Sicilia,Stilo,Calabria
Alberto da Genova,1090,1180,Genova,Liguria,Genova,Liguria
Alberto da Montecorvino,1031,1127,Sant'Elia a Pianisi,Molise,Motta Montecorvino,Puglia
Alberto di Gerusalemme,1149,1214,Gualtieri,Emilia-Romagna,Acri,Calabria
Allucio di Campugliano in Valdinievole,1070,1134,Uzzano,Toscana,Uzzano,Toscana
Ubaldo Baldassini,1085,1160,Gubbio,Umbria,Gubbio,Umbria
Bartolomeo di Simeri,1050,1130,Simeri Crichi,Calabria,Corigliano-Rossano,Calabria
Bellino di Padova,1090,1145,DESCONHECIDO,DESCONHECIDO,Fratta Polesine,Veneto
Oderisio di Montecassino,DESCONHECIDO,1105,Montecassino,Lazio,Montecassino,Lazio
Bernardo degli Uberti,1060,1133,Firenze,Toscana,Parma,Emilia-Romagna
Bernardo di Carinola,1040,1109,Carinola,Campania,Carinola,Campania
Bonfiglio di Foligno,1040,1115,Osimo,Marche,Cingoli,Marche
Cipriano di Calamizzi,1110,1190,Reggio di Calabria,Calabria,Reggio di Calabria,Calabria
Cono di Naso,1139,1236,Naso,Sicilia,Naso,Sicilia
Costanzo di Niardo,1066,1151,Niardo,Lombardia,Nave,Lombardia
Berardo da Teramo,DESCONHECIDO,1123,Pagliara,Sicilia,Teramo,Abruzzo
Donato da Ripacandida,1179,1198,Ripacandida,Basilicata,Petina,Campania
San Galdino,1096,1176,Milano,Lombardia,Milano,Lombardia
San Galgano,1148,1181,Chiusdino,Toscana,Chiusdino,Toscana
Gualtero Garbagni,1184,1224,Lodi,Lombardia,Lodi,Lombardia
Gemma di Goriano Sicoli,1375,1426,Bisegna,Abruzzo,Goriano Sicoli,Abruzzo
Costabile Gentilcore,1069,1124,Castellabate,Campania,Cava de' Tirreni,Campania
Gerardo dei Tintori,1134,1207,Monza,Lombardia,Monza,Lombardia
Gerardo Della Porta,DESCONHECIDO,1119,Piacenza,Emilia-Romagna,Potenza,Basilicata
Guido della Gherardesca,1060,1140,Pisa,Toscana,Castagneto Carducci,Toscana
Giovanni da Matera,1070,1139,Matera,Basilicata,Foggia,Puglia
Giovanni da Tufara,1084,1170,Tufara,Molise,Foiano di Val Fortore,Campania
Giovanni Oldrati,1100,1159,Meda,Lombardia,Milano,Lombardia
Silvestro Guzzolini,1177,1267,Osimo,Marche,Fabriano,Marche
Lanfranco Beccari,1134,1198,Gropello Cairoli,Lombardia,Pavia,Lombardia
Lidano d'Antena,1026,1118,Civita d'Antino,Abruzzo,Sezze,Lazio
Lorenzo da Frazzanò,1120,1162,Frazzanò,Sicilia,Frazzanò,Sicilia
Luca di Melicuccà,1035,1114,Melicuccà,Calabria,Amaroni,Calabria
Nicasio Camuto de Burgio,1130,1187,Palermo,Sicilia,Hattin,Terra Santa
Nicolò Politi,1117,1167,Adrano,Sicilia,Alcara Li Fusi,Sicilia
Omobono Tucenghi,DESCONHECIDO,1197,Cremona,Lombardia,Cremona,Lombardia
Ottone Frangipane,1040,1127,Roma,Lazio,Avellino,Campania
