Name,Sex,Birthplace,Birthplace_UF,Year,City,Sport,Event,Medal
Rodrigo Dourado Cunha,M,Pelotas,Rio Grande do Sul,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Romário de Souza Faria,M,Rio de Janeiro,Rio de Janeiro,1988,Seoul,Football,Football Men's Football,Silver
Rômulo Borges Monteiro,M,Picos,Piauí,2012,London,Football,Football Men's Football,Silver
"Ronaldo Luiz Nazário ""Ronaldinho"" de Lima",M,Rio de Janeiro,Rio de Janeiro,1996,Atlanta,Football,Football Men's Football,Bronze
"Ronaldo ""Ronaldinho"" de Assis Moreira",M,Porto Alegre,Rio Grande do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Ronaldo Moraes Silva,M,São Paulo,São Paulo,1984,Los Angeles,Football,Football Men's Football,Silver
Andréia Rosa de Andrade,F,São Pedro do Turvo,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
"Carmo ""Rosa Branca"" de Souza",M,Araraquara,São Paulo,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
"Carmo ""Rosa Branca"" de Souza",M,Araraquara,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Rosana dos Santos Augusto,F,São Paulo,São Paulo,2004,Athina,Football,Football Women's Football,Silver
Rosana dos Santos Augusto,F,São Paulo,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
Roseli do Carmo Gustavo,F,Araraquara,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Roseli de Belo,F,São Paulo,São Paulo,2004,Athina,Football,Football Women's Football,Silver
Rui Campos Nascimento,M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Lucas Saatkamp,M,Colinas,Rio Grande do Sul,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Lucas Saatkamp,M,Colinas,Rio Grande do Sul,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Samuel Fuchs,M,Curitiba,Paraná,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
Sandra Maria Suruagy Lima,F,Maceió,Alagoas,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Sandro Ranieri Guimarães Cordeiro,M,Riachinho,Minas Gerais,2012,London,Football,Football Men's Football,Silver
Paulo dos Santos,M,Porto Alegre,Rio Grande do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
"Wélissa ""Sassá"" de Souza Gonzaga",F,Barbacena,Minas Gerais,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Sávio Bortolini Pimentel,M,Vila Velha,Espírito Santo,1996,Atlanta,Football,Football Men's Football,Bronze
Robert Scheidt,M,São Paulo,São Paulo,1996,Atlanta,Sailing,Sailing Mixed One Person Dinghy,Gold
Robert Scheidt,M,São Paulo,São Paulo,2000,Sydney,Sailing,Sailing Mixed One Person Dinghy,Silver
Robert Scheidt,M,São Paulo,São Paulo,2004,Athina,Sailing,Sailing Mixed One Person Dinghy,Gold
Robert Scheidt,M,São Paulo,São Paulo,2008,Beijing,Sailing,Sailing Men's Two Person Keelboat,Silver
Robert Scheidt,M,São Paulo,São Paulo,2012,London,Sailing,Sailing Men's Two Person Keelboat,Bronze
"Fernando ""Xuxa"" de Queiroz Scherer",M,Florianópolis,Santa Catarina,1996,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,Bronze
"Fernando ""Xuxa"" de Queiroz Scherer",M,Florianópolis,Santa Catarina,2000,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Ronaldo Camargo Ribeiro Senfft,M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
"Sérgio ""Sérgio Macarrão"" Toledo Machado",M,Rio de Janeiro,Rio de Janeiro,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Sheilla Tavares de Castro Blassioli,F,Belo Horizonte,Minas Gerais,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Sheilla Tavares de Castro Blassioli,F,Belo Horizonte,Minas Gerais,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
"Sidnei ""Sidão"" dos Santos Junior",M,São Caetano do Sul,São Paulo,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Alex Sandro da Silva,M,Amparo,São Paulo,2008,Beijing,Football,Football Men's Football,Bronze
Erlon de Souza Silva,M,Ubatã,Bahia,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Rafaela Lopes Silva,F,Rio de Janeiro,Rio de Janeiro,2016,Rio de Janeiro,Judo,Judo Women's Lightweight,Gold
Thiago Emiliano da Silva,M,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Football,Football Men's Football,Bronze
Thiago Emiliano da Silva,M,Rio de Janeiro,Rio de Janeiro,2012,London,Football,Football Men's Football,Silver
Edvaldo Valério da Silva Filho,M,Salvador,Bahia,2000,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
"Silvia Andrea ""Silvinha"" Santos Luz",F,Araçatuba,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
"Silvia Andrea ""Silvinha"" Santos Luz",F,Araçatuba,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
"Silvio ""Silvinho"" Paiva",M,Franca,São Paulo,1984,Los Angeles,Football,Football Men's Football,Silver
José Edvar Simões,M,São José dos Campos,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Simone Gomes Jatobá,F,Maringá,Paraná,2008,Beijing,Football,Football Women's Football,Silver
Maicon de Andrade Siqueira,M,Justinópolis,Minas Gerais,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Bronze
Marcos Pinto Rizzo Soares,M,Rio de Janeiro,Rio de Janeiro,1980,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Gold
Rafael Augusto Sóbis do Nascimento,M,Erechim,Rio Grande do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Marta de Souza Sobral,F,São Paulo,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Marta de Souza Sobral,F,São Paulo,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Fernando Soledade,M,Rio de Janeiro,Rio de Janeiro,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
Massinet Sorcinelli,M,São Paulo,São Paulo,1948,London,Basketball,Basketball Men's Basketball,Bronze
Cláudio Roberto Souza,M,Teresina,Piauí,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Douglas Correia de Souza,M,Santa Bárbara d'Oeste,São Paulo,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
